Year,Month,State,Location,Activity,Species,Provoked,InjuryLevel,HeadInjury,ArmInjury,LegInjury,TorsoInjury
2012,6,TAS,bay,surfing,other,0,2,0,0,0,0
2012,6,WA,beach,surfing,other,0,0,0,0,0,0
2012,6,VIC,port,surfing,other,0,2,0,0,1,0
2012,6,NSW,beach,surfing,white shark,0,0,0,0,0,0
2012,4,SA,bay,boating,white shark,0,2,0,0,0,0
2012,3,WA,beach,diving,white shark,0,4,0,0,0,0
2012,3,WA,other,fishing,white shark,0,0,0,0,0,0
2012,3,QLD,beach,surfing,bull shark,0,2,0,0,1,0
2012,3,VIC,other,diving,other,1,2,1,0,0,0
2012,2,NSW,island,fishing,other,0,2,0,0,1,0
2012,2,QLD,other,surfing,other,0,0,0,0,0,0
2012,1,WA,bay,snorkeling,tiger shark,0,2,1,1,0,0
2012,1,NSW,beach,surfing,white shark,0,2,0,0,0,0
2012,1,NSW,beach,surfing,other,0,0,1,1,0,0
2012,1,QLD,other,diving,tiger shark,0,0,0,0,0,0
2011,12,NSW,other,surfing,white shark,0,3,0,0,0,0
2011,12,NSW,other,surfing,wobbegong shark,0,1,0,0,1,0
2011,12,NSW,other,surfing,other,0,0,0,1,0,0
2011,11,QLD,other,swimming,wobbegong shark,0,3,0,0,1,0
2011,10,WA,island,diving,white shark,0,4,0,0,0,0
2011,10,VIC,beach,diving,other,0,1,0,0,1,0
2011,10,WA,beach,swimming,other,0,4,0,0,0,0
2011,9,WA,bay,boarding,white shark,0,4,0,0,0,0
2011,4,WA,other,fishing,other,0,2,0,0,1,0
2011,3,NSW,other,surfing,bull shark,0,3,1,1,0,0
2011,3,NSW,beach,boarding,other,0,3,1,1,0,0
2011,3,NSW,beach,surfing,other,0,0,0,0,0,0
2011,2,QLD,other,fishing,bull shark,1,2,0,1,0,0
2011,2,SA,island,diving,white shark,0,4,0,0,0,0
2011,2,QLD,beach,fishing,other,1,2,0,0,1,0
2011,2,WA,other,snorkeling,other,0,2,0,1,0,0
2011,1,WA,other,fishing,white shark,0,0,0,0,0,0
